gene,baseMean,log2FoldChange,pvalue,padj
Ttc17,1150.6846314691174,-0.3651200799348682,3.113057453065433e-05,5.891069548014804e-05
Rnf13,3825.6489974097717,-0.24599056223783786,3.123363504330182e-05,5.909748565344005e-05
Mbip,238.4879626894393,0.7714844918640085,3.124051985961593e-05,5.910227408702811e-05
Gm10941,34.77233455167964,1.66177207283193,3.130282370466606e-05,5.9211890881708064e-05
Pin1,1089.0854471152268,0.3508105347980463,3.1569178354819766e-05,5.970740239491758e-05
Gm26770,14.075340236731165,-3.2876259896501296,3.161194240535421e-05,5.977995349822765e-05
Sarnp,909.3905461932363,0.39424586125339517,3.170105820919454e-05,5.994012594116265e-05
Pramel12,464.1902627654706,0.45364658845139194,3.179094262445436e-05,6.010170685018712e-05
Sfxn4,17.620252743605118,-2.5155062952419436,3.183869768794284e-05,6.018360707647071e-05
Fam120a,5563.219531912947,-0.23653223762657596,3.187516888275552e-05,6.024415795245383e-05
1110038B12Rik,415.08133829026724,-0.4947635338614171,3.191083019243417e-05,6.030316149688172e-05
Acad9,588.2873607696264,0.4252869829536583,3.257907827979433e-05,6.155740653813032e-05
L1cam,467.5532365714407,-0.6198017282313072,3.2860535735326314e-05,6.208057231333603e-05
Gm15910,19.05585532985767,-2.450327913730815,3.336381663261364e-05,6.302260603549924e-05
mt-Nd5,16089.926920147207,0.2625551445873871,3.346123094875476e-05,6.319782230393726e-05
Gm42688,21.33890546768052,-2.1750738669861143,3.3561698463239245e-05,6.337875555648435e-05
Nkrf,177.99751459046692,-0.797551739076388,3.359400363788996e-05,6.343093690092062e-05
Setd6,176.08843625152107,-0.7381568530703545,3.370243538735132e-05,6.362682308037647e-05
4933439C10Rik,103.83018399584721,-1.002727562010086,3.3754539920799566e-05,6.371632942357576e-05
Exosc8,619.0723161930556,-0.44053265414431614,3.3980677354114506e-05,6.413427619643358e-05
Aldh18a1,822.5637266612989,-0.4029546917408284,3.421461719736933e-05,6.456683078508151e-05
Poc1b,239.49796981048766,-0.6162915332107433,3.441228782188073e-05,6.493083053853336e-05
Lsg1,849.3257509797354,0.3807198780613837,3.4651430712327794e-05,6.537297018612057e-05
Rnf220,1460.5628131431552,-0.31611952363980544,3.4994700459198325e-05,6.601140411800417e-05
Gopc,1097.9847213082671,0.33993845039084797,3.506961793371936e-05,6.614353117025242e-05
Rcor2,29.72663384136594,1.7815709330240332,3.5133844782119127e-05,6.62554611103758e-05
Hddc2,104.3105693832847,-0.965244761481199,3.5241195456404266e-05,6.644867163845416e-05
Top2b,2042.5046813694198,-0.2790123799323947,3.5303645838344736e-05,6.655717897356826e-05
Wdr35,62.62776606564031,-1.4708189157447815,3.541663375323671e-05,6.676092022863978e-05
Rnase6,170.39461328222572,-0.7072745088780339,3.550793625835301e-05,6.692373323672365e-05
Ercc5,173.37562224495025,-0.7933307529210739,3.552641823869331e-05,6.694927129973941e-05
Ubac1,483.05165230179426,-0.5144264136884705,3.5552844084372345e-05,6.698977034998198e-05
Arl5b,464.69609969510833,0.4642107273976364,3.5625277849214263e-05,6.711693567317619e-05
Slc36a2,31.966288251033642,-1.777976918695207,3.571316838818292e-05,6.727318175148417e-05
Marveld2,20.00522998722174,2.1747448883340263,3.5777375181769434e-05,6.738477739938093e-05
Mccc1,215.69563546487515,-0.6683913010886355,3.5799558901630564e-05,6.741720484610616e-05
Snrpd1,1160.4728887903082,0.3593065076893509,3.611237522914331e-05,6.79968624442213e-05
Cldn12,88.73405169003968,-1.0054420610664465,3.626678885041872e-05,6.827814034058026e-05
Gm28935,11.855641552350919,5.77218055753878,3.634044669188113e-05,6.840732539115163e-05
Smim15,1398.6284591324404,-0.34168802431207024,3.675439440708635e-05,6.917694809786331e-05
Taf4b,116.10345437967379,-0.9770164983238322,3.690617318161744e-05,6.945298693570985e-05
Gipc1,1043.112250653058,-0.3405012751583351,3.7288189434233524e-05,7.016216847522677e-05
Zfp322a,333.2538625956243,-0.5451604857310046,3.744952468477728e-05,7.045597339863713e-05
Ctsh,3097.3532494512315,0.29324596322846797,3.7460999674733906e-05,7.046779511985006e-05
Plekha1,1183.1932664547578,-0.34552808359861453,3.75427457341566e-05,7.061178198634358e-05
Slc25a5,7299.939942539357,0.23796965495512412,3.7664411922658646e-05,7.083080180634087e-05
Ifi208,11.21394179408935,5.649558856596785,3.775735159236592e-05,7.099574601950062e-05
Mrps15,735.3779441882956,0.409905259982987,3.791432814453271e-05,7.12810374285162e-05
Zfp606,105.14800233521669,-0.9147184713900706,3.810658175528195e-05,7.163256346021289e-05
Exosc2,509.08628671090133,-0.4574041417214852,3.842015990812481e-05,7.221202583673305e-05
Arhgef40,83.01658554267526,-1.0825757138249918,3.8432062405522e-05,7.222439638551234e-05
Rhebl1,39.19051225783651,-1.4984845300910823,3.8443826507254575e-05,7.223650346199801e-05
Gm20519,16.31771574073866,2.529744594141526,3.845651687404978e-05,7.225034741153657e-05
Gm16174,14.374841254287778,2.862868007276443,3.888823132886154e-05,7.305132190118552e-05
Lrrc56,27.828778109852923,-1.8911122876016024,3.911532605742377e-05,7.346775092064068e-05
