gene,ctrl_1,ctrl_2,ctrl_3,lps_1,lps_2,lps_3
Gm6420,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0
Gm27028,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0
Gm29107,0,0,0,0,0,0
Gm20954,0,0,0,0,0,0
Ogfrl1,2099,1289,1252,2436,2545,2290
Gm7784,0,0,0,0,0,0
Gm28822,0,0,0,0,0,0
B3gat2,8,2,3,11,10,7
Smap1,817,510,558,666,679,546
Sdhaf4,267,202,208,126,87,93
Gm26524,0,0,0,0,0,0
Fam135a,300,150,191,167,124,115
Gm37580,0,0,0,0,0,0
Gm26607,0,0,0,0,0,0
Col9a1,0,0,0,0,0,0
Col19a1,16,6,5,38,37,33
Gm26418,0,0,0,0,0,0
Tubb4b-ps2,1,2,1,6,2,0
Gm28439,73,37,39,47,25,40
Gm10222,35,41,33,34,14,42
Gm28438,185,124,152,146,120,74
Gm28437,321,179,160,238,178,161
Gm10925,321,149,190,214,162,191
Gm28661,219,144,117,180,158,151
Gm29216,173,126,105,136,116,101
Lmbrd1,2343,1366,1505,1521,1357,1137
Gm28594,0,0,0,0,0,0
Gm28237,0,0,0,0,0,0
Gm9443,0,0,0,0,0,0
Gm29414,0,0,0,0,0,0
Adgrb3,1,0,0,0,0,0
Gm15702,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0
Gm22260,0,0,0,0,0,0
Gm37543,0,0,0,0,0,0
Gm37331,0,0,0,0,0,0
Gm37211,0,0,0,0,0,0
Gm37862,0,0,0,0,0,0
Gm38286,0,0,0,0,0,0
Gm37880,0,0,0,0,0,0
Gm25294,0,0,0,0,0,0
Gm37011,0,0,0,0,0,0
Gm29214,0,0,0,0,0,0
Gm37051,0,0,0,0,0,0
Gm38260,0,0,0,0,0,0
Gm37628,0,0,0,0,0,0
8030445P17Rik,0,0,0,0,0,0
Gm38198,0,0,0,0,0,0
Gm37077,0,0,0,0,0,0
Gm37895,0,0,0,0,0,0
Gm36952,0,0,0,0,0,0
Gm37602,0,0,0,0,0,0
2900022M07Rik,0,0,0,0,3,0
2900002M20Rik,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0
Gm18443,0,0,0,0,0,0
Gm19123,0,0,0,0,0,0
Gm24064,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0
n-R5s209,0,0,0,0,0,0
Gm19641,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0
Gm18776,0,0,0,0,0,0
Gm19028,0,0,0,0,0,0
Gm38089,0,0,0,0,0,0
Gm7846,25,13,17,26,6,24
Gm597,0,0,0,0,0,0
Gm5697,1,0,0,0,0,0
Gm6462,0,0,0,0,0,0
Gm18033,0,0,0,0,0,0
Y_RNA|ENSMUSG00002075209.1,0,0,0,0,0,0
ENSMUSG00002076857,0,0,0,0,0,0
ENSMUSG00002074912,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0
Gm5525,17,8,9,20,10,9
Gm53035,0,0,0,0,0,0
Gm7858,0,0,0,0,0,0
ENSMUSG00002075317,0,0,0,0,0,0
ENSMUSG00002075289,0,0,0,0,0,0
Gm9898,0,0,0,0,0,0
Gm6473,1,0,1,0,0,2
Gm2914,0,0,0,0,0,0
Phf3,2759,1861,1806,886,916,769
Gm37522,0,0,0,0,0,0
Gm37906,0,0,0,0,0,0
Ptp4a1,3,5,10,1,1,5
Ptp4a1|ENSMUSG00000117310.3,17,8,17,7,16,11
Gm5698,0,0,0,0,0,0
Gm9458,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0
Gm28644,0,0,0,0,0,0
5S_rRNA|ENSMUSG00002076113.1,0,0,0,0,0,0
Gm29128,0,0,0,0,0,0
Gm7893,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0
Dnaaf6,0,0,0,0,0,0
Gm26145,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0
Gm28645,0,0,0,0,0,0
Gm6489,0,0,0,0,0,0
Eef1a1-ps2,0,0,0,0,0,0
Gm19680,16,4,3,1,0,0
Gm23032,0,0,0,0,0,0
Gm7910,0,0,0,0,0,0
Khdrbs2,0,0,0,0,0,0
Gm25814,0,0,0,0,0,0
Gm37999,0,0,0,0,0,0
Gm37110,1,0,0,0,0,0
Gm37911,0,0,0,0,0,0
Gm9839,0,3,0,0,0,0
Gm37792,0,0,0,0,0,0
Semp2l1,0,0,1,0,0,0
Gm24732,0,0,0,0,0,0
Gm37426,0,0,0,0,0,0
7SK|ENSMUSG00002076392.1,0,0,0,0,0,0
Gm37151,0,0,0,0,0,0
Gm28624,0,0,0,0,0,0
Gm37724,0,0,0,0,0,0
Gm7114,3,1,0,2,0,0
Gm4785,0,0,0,0,0,0
Gm24901,0,0,0,0,0,0
Gm37591,0,0,0,0,0,0
Gm2987,0,0,0,0,0,0
Gm25792,0,0,0,0,0,0
Gm18799,0,0,0,0,0,0
Gm7933,0,0,0,0,0,0
Gm23453,0,0,0,0,0,0
Prim2,718,576,496,282,209,228
Gm29228,3,2,0,4,4,0
Gm37618,0,0,0,0,0,0
Gm17813,0,0,0,0,0,0
1700001G17Rik,6,0,1,0,0,0
Gm38173,0,0,0,0,0,0
Rab23,298,180,178,59,43,70
Bag2,172,99,109,19,8,5
Gm37905,0,0,0,0,0,0
Zfp451,1458,927,939,654,544,509
Gm15455,0,1,3,4,0,1
Bend6,39,10,14,71,75,63
Gm37067,0,0,0,0,0,0
Dst,750,533,602,10757,10123,7967
Gm37354,0,0,0,2,7,1
Gm28631,0,0,0,0,0,0
Gm23792,0,0,0,0,0,0
Gm38157,0,0,0,0,0,3
Mir6896,0,0,0,0,0,0
Gm26788,2,0,0,3,12,0
A930005N03Rik,0,3,0,0,0,0
Gm37958,0,0,0,0,0,0
Gm37385,0,0,0,0,0,0
Gm5266,0,0,0,0,0,0
Gm3052,20,11,8,8,3,8
Gm37233,144,94,102,20,29,33
Mir5103,0,0,0,0,0,0
Ccdc115,1939,1351,1454,852,776,778
Gm28306,0,0,1,0,3,2
Imp4,2077,1456,1490,1118,1090,904
Ptpn18,552,352,391,141,150,146
Gm28417,48,42,23,1,2,5
4930568A12Rik,1,8,2,0,0,11
Prss39,0,1,0,0,0,0
Gm28416,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0
Gm28419,0,0,0,0,0,0
Prss40,0,0,0,0,0,0
1700101I19Rik,0,0,0,0,0,0
Amer3,2,0,0,0,0,0
Gm28418,0,0,0,0,0,0
Gm36984,0,0,0,0,0,0
Gm29730,0,0,0,0,0,0
AA619741,0,0,0,0,0,0
Arhgef4,97,58,58,0,1,5
Gm37224,0,0,0,0,0,0
Gm37845,0,0,0,0,0,0
SMIM39,0,0,0,0,0,0
Gm38336,12,5,6,2,0,6
Fam168b,10773,7106,7226,3335,2902,2758
Gm37127,32,13,14,12,9,2
Plekhb2,6886,4767,4947,3821,3463,2866
Gm19430,0,0,0,0,0,0
Gm37670,3,6,5,4,5,2
Gm8009,0,0,0,0,0,0
Gm38027,0,0,0,0,0,0
Gm25096,0,0,0,0,0,0
Gm37068,0,0,0,0,0,0
Gm25634,0,0,0,0,0,0
Gm28415,0,0,0,0,0,0
1110002O04Rik,0,0,0,0,0,0
Gm8022,0,0,0,0,0,0
Gm37146,0,0,0,0,0,0
Gm33222,0,0,0,0,0,0
4930535G08Rik,0,0,0,0,0,0
Gm38049,0,0,0,0,0,0
Hs6st1,2034,1481,1361,913,910,834
Gm37335,0,0,0,0,0,0
Gm33280,8,8,4,7,1,1
Uggt1,6098,3916,4060,3550,3028,2671
Mir6897,0,0,0,0,0,0
Neurl3,5594,3916,4045,2872,2555,2158
Arid5a,122,75,84,2702,2440,1724
4930403P22Rik,0,0,0,1,0,2
Kansl3,1905,1296,1300,1402,1501,1265
Mir6898,0,0,0,0,0,0
Fer1l5,247,105,143,39,13,22
Lman2l,983,770,732,333,379,239
Cnnm4,724,410,440,167,161,166
Gm37909,9,6,1,1,1,0
ENSMUSG00002075980,0,0,0,0,0,0
Cnnm3,994,598,646,146,147,135
Gm38033,0,0,0,0,0,0
Ankrd23,2,9,3,2,4,10
Gm42417,1,3,0,0,0,0
Ankrd39,155,92,83,66,61,31
Sema4c,193,199,163,3380,3324,2710
D430040D24Rik,7,3,0,28,43,28
Fam178b,0,1,0,4,1,0
Gm6428,0,0,0,0,0,0
ENSMUSG00002075377,0,0,0,0,0,0
Cox5b,2024,1622,1627,2052,1777,1702
Actr1b,2669,1823,1796,1639,1475,1303
4933424G06Rik,0,0,0,0,0,0
Gm33533,0,0,0,0,0,0
Zap70,0,0,0,0,0,5
Gm18828,0,0,0,0,0,0
Tmem131,2951,1928,1995,4527,4359,3853
Gm37506,0,0,0,0,0,0
Gm38115,0,0,0,0,0,0
F830112A20Rik,0,0,0,2,0,0
Rpl12-ps1,11,1,1,2,0,3
n-R5s210,0,0,0,0,0,7
Vwa3b,0,0,0,0,8,6
Gm37020,0,0,0,0,0,0
Cnga3,0,0,0,0,0,0
1700074A21Rik,0,0,0,0,0,0
Inpp4a,610,406,528,459,452,382
4930439A04Rik,0,0,0,0,0,0
Gm37135,0,0,0,0,0,0
Coa5,4400,2543,2782,6927,6346,5851
Unc50,1566,1001,1049,1654,1406,1337
Mgat4a,1691,1061,1064,4122,3850,3139
4930594C11Rik,0,0,0,1,2,6
Gm43213,2,0,0,0,0,3
Cracdl,30,31,22,84,57,49
4930556I23Rik,0,0,0,0,0,0
4930470B04Rik,0,0,0,0,0,0
Gm19863,0,0,0,0,0,0
Tsga10,270,185,189,187,169,125
Gm26805,0,0,0,0,0,0
Lipt1,67,41,26,35,33,21
Mitd1,410,265,255,2079,1877,1864
Mrpl30,1013,662,657,1265,984,926
Lyg2,0,0,0,0,0,0
Gm15457,0,0,0,0,0,0
Lyg1,0,0,0,0,0,0
7SK|ENSMUSG00002076708.1,0,0,0,0,0,0
Txndc9,2120,1372,1259,2431,2300,2038
Eif5b,6181,4031,4123,4648,4292,3907
Rev1,571,423,379,233,156,180
Gm37062,1,4,2,0,1,1
Gm5099,0,0,0,0,0,0
Aff3,3,3,10,23,13,13
Gm16150,0,0,0,2,0,0
Gm16151,0,0,0,0,0,0
Gm16152,0,0,0,0,0,0
Gm34727,0,0,0,0,0,0
Gm38135,0,0,0,0,0,0
2610300A13Rik,0,0,0,0,0,0
Lonrf2,0,0,0,0,0,0
Chst10,20,22,2,0,4,0
Gm37707,0,0,0,0,0,0
Gm6621,0,0,0,0,0,0
Nms,0,0,0,0,0,0
Pdcl3,1423,928,962,1305,1208,1008
Gm37309,12,10,32,30,12,21
Gm37821,0,0,0,0,0,0
Gm37091,0,0,0,0,0,0
Mir6349,0,0,0,0,0,0
Npas2,22,44,8,13,8,2
Gm20428,0,0,0,0,0,0
Gm3617,1,1,0,1,0,0
Rpl31,9498,6546,6311,7414,6807,5921
Tbc1d8,763,566,470,352,281,278
Gm37265,0,0,0,0,0,0
Gm24826,0,0,0,0,0,0
ENSMUSG00002076218,0,0,0,0,0,0
Cnot11,1051,679,699,571,474,523
Gm15832,63,82,34,428,400,405
Snord89,16,5,22,32,37,45
Rnf149,5363,3421,3521,13221,12163,11074
Gm23722,0,2,5,8,32,18
Gm5100,0,0,0,5,0,0
Creg2,397,258,291,205,141,144
D930019O06Rik,0,7,2,11,2,13
Rfx8,0,0,0,3,0,0
Gm3646,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0
Map4k4,3814,2555,2529,6347,5578,4568
4930456G14Rik,0,0,0,0,0,0
Il1r2,6,11,3,9,4,8
Gm16894,0,0,0,0,0,0
Gm37347,0,0,0,0,0,0
Il1r1,40,13,18,26,45,16
Gm38070,0,2,0,0,0,1
Il1rl2,36,35,45,47,32,24
Gm17970,0,0,0,0,0,0
Il1rl1,93,52,82,14,17,14
Il18r1,1,0,3,7,0,1
Il18rap,142,145,134,226,190,219
Gm35801,0,0,0,0,0,0
Slc9a4,4,5,6,0,0,0
Gm37435,0,0,0,0,0,0
Slc9a2,14,10,10,0,2,0
Gm37623,0,0,0,0,0,0
Gm37915,3,0,0,0,1,0
Mfsd9,39,9,18,22,10,22
Tmem182,0,0,0,0,0,0
Gm5973,0,0,0,0,0,0
4930448I06Rik,0,0,0,0,0,0
Gm28634,0,0,0,0,0,0
Gm29260,0,0,0,0,0,0
Gm5267,0,0,0,0,0,0
Gm8176,0,0,0,0,0,0
Gm9915,0,0,0,0,0,0
Gm29664,0,0,0,0,0,0
Gm28175,0,0,0,0,0,0
Gm28140,0,0,0,0,0,0
Gm37047,0,0,0,0,0,0
Pantr1,0,0,0,0,0,0
4930420N18Rik,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0
Gm20646,0,0,0,0,0,0
Pantr2,0,0,0,0,0,0
Dalir,0,0,0,0,0,0
Mrps9,731,505,515,582,462,528
Gm23126,0,0,0,0,0,0
Gpr45,0,0,1,2,0,1
ENSMUSG00002075628,0,0,0,0,0,0
Tgfbrap1,2131,1362,1515,525,454,371
Gm28782,2,0,0,0,0,0
8430432A02Rik,5,2,7,1,2,0
AI597479,705,510,507,330,266,348
Fhl2,0,0,0,0,6,0
Gm8210,4,1,1,3,1,2
Gm29040,0,0,0,0,0,0
Gm29610,0,0,0,0,0,0
Gm29041,0,0,0,0,0,0
Nck2,795,551,518,535,485,406
Gm37536,0,0,0,0,0,0
Gm38228,11,0,4,3,6,3
Ecrg4,2,0,0,0,7,0
Gm29155,2,2,1,0,0,0
Gm29157,0,0,0,0,0,0
Gm29156,8,15,0,5,6,2
Uxs1,1289,955,904,761,598,520
Gm16103,2,0,2,2,0,0
Gm19587,2,5,0,6,6,1
Gm8241,0,0,0,0,0,0
Gm26352,0,0,0,0,0,0
ENSMUSG00002075225,0,0,0,0,0,0
Tpp2,4476,2717,2803,3054,2310,2467
Mettl21c,1,3,4,0,0,0
Gm15838,0,0,0,0,0,0
Gm8251,0,1,3,0,0,0
Tex30,196,194,153,76,47,74
Gm29247,0,0,0,0,0,0
